LiveXYZSeptember132025_XYTableToPoint_stateId,LiveXYZSeptember132025_XYTableToPoint_spaceStatus,LiveXYZSeptember132025_XYTableToPoint_placeStatus,LiveXYZSeptember132025_XYTableToPoint_resolvedName,LiveXYZSeptember132025_XYTableToPoint_subcategoriesPrimary_name,LiveXYZSeptember132025_XYTableToPoint_address,LiveXYZSeptember132025_XYTableToPoint_postcode,LiveXYZSeptember132025_XYTableToPoint_validityTime_start,LiveXYZSeptember132025_XYTableToPoint_validityTime_end,LiveXYZSeptember132025_XYTableToPoint_verifiedTimesLast,LiveXYZSeptember132025_XYTableToPoint_placeId,LiveXYZSeptember132025_XYTableToPoint_placeCreationDate,placeCreationDate_short,LiveXYZSeptember132025_XYTableToPoint_spaceId,LiveXYZSeptember132025_XYTableToPoint_spaceCreationDate,spaceCreationDate_short,spaceCreation_placeCreation_discrepancy,LiveXYZSeptember132025_XYTableToPoint_entrances_main_lat,LiveXYZSeptember132025_XYTableToPoint_entrances_main_lon,LiveXYZSeptember132025_XYTableToPoint_entrances_main_floor,LiveXYZSeptember132025_XYTableToPoint_entrances_main_entranceMet,LiveXYZSeptember132025_XYTableToPoint_hours,LiveXYZSeptember132025_XYTableToPoint_tel,LiveXYZSeptember132025_XYTableToPoint_emails,LiveXYZSeptember132025_XYTableToPoint_urls_website,LiveXYZSeptember132025_XYTableToPoint_urls_facebook,LiveXYZSeptember132025_XYTableToPoint_urls_instagram,LiveXYZSeptember132025_XYTableToPoint_urls_menu,LiveXYZSeptember132025_XYTableToPoint_urls_contact,LiveXYZSeptember132025_XYTableToPoint_urls_liveWeb,Photo_URL,LiveXYZSeptember132025_XYTableToPoint_slug,LiveXYZSeptember132025_XYTableToPoint_description,LiveXYZSeptember132025_XYTableToPoint_name,LiveXYZSeptember132025_XYTableToPoint_genericName_id,LiveXYZSeptember132025_XYTableToPoint_genericName_name,LiveXYZSeptember132025_XYTableToPoint_chain_chainId,LiveXYZSeptember132025_XYTableToPoint_chain_name,LiveXYZSeptember132025_XYTableToPoint_chain_urls_website,LiveXYZSeptember132025_XYTableToPoint_parent_placeId,LiveXYZSeptember132025_XYTableToPoint_parent_name,LiveXYZSeptember132025_XYTableToPoint_parent_subcategoriesPrimar,LiveXYZSeptember132025_XYTableToPoint_parent_subcategoriesPrim_1,LiveXYZSeptember132025_XYTableToPoint_tagsPrimary_id,LiveXYZSeptember132025_XYTableToPoint_tagsPrimary_name,LiveXYZSeptember132025_XYTableToPoint_subcategoriesPrimary_id,LiveXYZSeptember132025_XYTableToPoint_categoriesPrimary_id,LiveXYZSeptember132025_XYTableToPoint_categoriesPrimary_name,LiveXYZSeptember132025_XYTableToPoint_tags_id,LiveXYZSeptember132025_XYTableToPoint_tags_name,LiveXYZSeptember132025_XYTableToPoint_subcategories_id,LiveXYZSeptember132025_XYTableToPoint_subcategories_name,LiveXYZSeptember132025_XYTableToPoint_categories_id,LiveXYZSeptember132025_XYTableToPoint_categories_name,LiveXYZSeptember132025_XYTableToPoint_offerings_positive_id,LiveXYZSeptember132025_XYTableToPoint_offerings_positive_name,LiveXYZSeptember132025_XYTableToPoint_isStorefront,LiveXYZSeptember132025_XYTableToPoint_isInterior,LiveXYZSeptember132025_XYTableToPoint_isMobile,LiveXYZSeptember132025_XYTableToPoint_AddSpatialJoin_OBJECTID,LiveXYZSeptember132025_XYTableToPoint_AddSpatialJoin_Join_Count,LiveXYZSeptember132025_XYTableToPoint_AddSpatialJoin_TARGET_FID,LiveXYZSeptember132025_XYTableToPoint_AddSpatialJoin_BoroCD,LiveXYZSeptember132025_XYTableToPoint_AddSpatialJoin_Shape_Leng,Status_simplified,Predicted Class,Prediction Confidence,Old-school Probability,New-school Probability,Prediction Source
5a60f4029dc49c000465c5d1,Occupied,Permanently Closed, Mei Wei Kitchen,Quick Bites,1126 Broadway,11221,2018-01-18T19:22:41Z,2018-01-18T19:22:41Z,2016-12-13T16:30:03Z,5511ce4b37345d0003003646,2015-03-24T20:51:23Z,3/24/2015,59c10f4f7b2a3677ef545b5d,2015-03-24T20:51:23Z,3/24/2015,0,40.6936061,-73.92953174,1,fixed,Sunday 12:00pm-11:00pm;Monday 11:00am-11:30pm;Tuesday 11:00am-11:30pm;Wednesday 11:00am-11:30pm;Thursday 11:00am-11:30pm;Friday 11:00am-12:00am;Saturday 11:00am-12:00am,(718) 573-0200,,http://www.hongkongmeiweikitchen.com/,,,http://www.beyondmenu.com/28616/brooklyn/hong-kong-mei-wei-kitchen-brooklyn-11221.aspx?r=28616,,https://share.livexyz.com/venue/5511ce4b37345d0003003646,https://calendre.imgix.net/NKqFkMjSAexrTEbJaYt7_image.jpg,"Serving fried rice, chop suey, egg foo young and more.",, Mei Wei Kitchen,,,,,,,,,,563260851f8c100003002b9a,Quick Bites,563260851f8c100003002b9a,59ea276af86351000446c403,Food,"563260851f8c100003002b9a,5511be633d42bd000300064e,59ea276af86351000446c403,5511be7737345d00030006df","Quick Bites,Restaurant,Food,Chinese Restaurant","563260851f8c100003002b9a,5511be633d42bd000300064e","Quick Bites,Restaurant",59ea276af86351000446c403,Food,,,TRUE,FALSE,FALSE,108987,1,108987,303,36213.67552,Closed,0 Old-school,1,1,0,Closed
6492b63ecc91d10001afb064,Occupied,Operating,#1 Lewis Grocery,Groceries & Convenience,1 Lewis Avenue,11206,2023-06-21T08:35:07Z,,2025-08-05T20:01:09Z,6492b63ecc91d10001afb063,2023-06-21T08:35:10Z,6/21/2023,59c111207b2a3677ef5d7e82,2017-09-19T12:44:16Z,9/19/2017,-2101,40.69824099,-73.93775908,1,fixed,,,,,,,,,https://share.livexyz.com/venue/6492b63ecc91d10001afb063,https://calendre.imgix.net/ae9dd7d2-5454-43e0-921f-421c57905e7f_image.png,,,#1 Lewis Grocery,,,,,,,,,,5511be3c37345d00030005c9,Convenience Store,58193a7c1c464c000357b1c8,59ea28b3f86351000446c544,Essentials,"5511be3c37345d00030005c9,59c18724e41d550e7ccd7793","Convenience Store,Deli","58193a7c1c464c000357b1c8,5511be633d42bd000300064e","Groceries & Convenience,Restaurant","59ea28b3f86351000446c544,59ea276af86351000446c403","Essentials,Food",563260851f8c100003002b9a,Quick Bites,TRUE,FALSE,FALSE,284544,1,284544,303,36213.67552,New,0 Old-school,0.9999,0.9999,0.0001,New
56b0e8684d7f1e000301ebb7,Occupied,Operating,$1.25 Pizza,Restaurant,497 Nostrand Ave,11216,2016-02-02T17:33:28Z,,2025-07-24T16:46:05Z,56b0e8684d7f1e000301ebb6,2016-02-02T17:33:28Z,2/2/2016,59c110a57b2a3677ef5a3e08,2016-02-02T17:33:28Z,2/2/2016,0,40.68027569,-73.94966947,1,fixed,Sunday 24 Hours;Monday 24 Hours;Tuesday 24 Hours;Wednesday 24 Hours;Thursday 24 Hours;Friday 24 Hours;Saturday 24 Hours,,,,,,,,https://share.livexyz.com/venue/56b0e8684d7f1e000301ebb6,,,,$1.25 Pizza,,,,,,,,,,5511be4337345d00030005f0,Pizzeria,5511be633d42bd000300064e,59ea276af86351000446c403,Food,5511be4337345d00030005f0,Pizzeria,5511be633d42bd000300064e,Restaurant,59ea276af86351000446c403,Food,563260851f8c100003002b9a,Quick Bites,TRUE,FALSE,FALSE,32557,1,32557,303,36213.67552,Existing,,,,,
67a12073103ec67c16a7cd06,Occupied,Operating,$1.50 Hot Pizza,Restaurant,1751 Fulton Street,11233,2025-02-03T20:00:48Z,,2025-08-01T15:10:29Z,67a12072103ec67c16a7cd04,2025-02-03T20:00:50Z,2/3/2025,59c111197b2a3677ef5d48f3,2017-09-19T12:44:09Z,9/19/2017,-2694,40.67968625,-73.92911493,1,fixed,,(347) 365-6053,,,,,,,https://share.livexyz.com/venue/67a12072103ec67c16a7cd04,https://calendre.imgix.net/d1278947-5e3d-4dea-9eac-33f0393332b6_image.png,,,$1.50 Hot Pizza,,,,,,,,,,5511be4337345d00030005f0,Pizzeria,5511be633d42bd000300064e,59ea276af86351000446c403,Food,5511be4337345d00030005f0,Pizzeria,5511be633d42bd000300064e,Restaurant,59ea276af86351000446c403,Food,,,TRUE,FALSE,FALSE,369379,1,369379,303,36213.67552,New,0 Old-school,1,1,0,New
688845f5d4e347c0b743590a,Occupied,Permanently Closed,/ND/GO Lounge,Bar,1114 Fulton Street,11238,2025-07-29T03:54:27Z,2025-07-29T03:54:27Z,2025-07-24T17:05:53Z,64eeab5c06fbff0001f11505,2023-08-30T02:37:16Z,8/30/2023,59c110d47b2a3677ef5b7867,2016-02-22T20:05:10Z,2/22/2016,-2746,40.68116287,-73.95638542,1,fixed,,,,,,,,,https://share.livexyz.com/venue/64eeab5c06fbff0001f11505,https://calendre.imgix.net/651f134d-99d7-4e91-b686-b2d29ca59614_image.png,,,/ND/GO Lounge,,,,,,,,,,5511be4137345d00030005e3,Lounge,5511be4f3d42bd00030005f4,59ea28d4f86351000446c55f,Drinks,5511be4137345d00030005e3,Lounge,5511be4f3d42bd00030005f4,Bar,59ea28d4f86351000446c55f,Drinks,,,TRUE,FALSE,FALSE,386452,1,386452,303,36213.67552,Closed,0 Old-school,0.9131,0.9131,0.0869,Closed
67b693edd1ebbd4a79ec86de,Occupied,Permanently Closed,_A_S_S_I_S_T_A_N_T,,,,2025-02-20T02:31:08Z,2025-02-20T02:31:08Z,2024-10-24T18:22:58Z,5b883ea1cdb2f7000388b3f3,2018-08-30T18:59:45Z,8/30/2018,5b883e30c55d7f0003022e9e,2018-08-30T18:57:52Z,8/30/2018,0,40.6882308,-73.95721517,1,fixed,,,,,,,,,https://share.livexyz.com/venue/5b883ea1cdb2f7000388b3f3,https://calendre.imgix.net/DM6P_image_838bcfdc43e3d94f68f24cda8619f09958386ccd.jpg,,,_A_S_S_I_S_T_A_N_T,,,,,,,,,,5a5cf19d051ced00043524ea,Misc,,5a5cf19d051ced00043524ea,Misc,5a5cf19d051ced00043524ea,Misc,,,5a5cf19d051ced00043524ea,Misc,,,TRUE,FALSE,FALSE,370715,1,370715,303,36213.67552,Closed,1 New-school,0.9998,0.0002,0.9998,Closed
6492b51b61fa7200014a5c27,Occupied,Permanently Closed,1017 Deli Corp.,Groceries & Convenience,,,2023-06-21T08:30:18Z,2023-06-21T08:30:18Z,2023-03-28T20:18:22Z,569aa4333065530003000281,2016-01-16T20:12:35Z,1/16/2016,59c110747b2a3677ef59139e,2016-01-16T20:12:35Z,1/16/2016,0,40.68916905,-73.95492649,1,fixed,,,,,,,,,https://share.livexyz.com/venue/569aa4333065530003000281,https://calendre.imgix.net/B79C_image_a58b2d77912d952ff0208d8becfec5641528c3af.jpg,,,1017 Deli Corp.,,,,,,,,,,5511be3c37345d00030005c9,Convenience Store,58193a7c1c464c000357b1c8,59ea28b3f86351000446c544,Essentials,"5511be3c37345d00030005c9,59c18724e41d550e7ccd7793","Convenience Store,Deli","58193a7c1c464c000357b1c8,5511be633d42bd000300064e","Groceries & Convenience,Restaurant","59ea28b3f86351000446c544,59ea276af86351000446c403","Essentials,Food",563260851f8c100003002b9a,Quick Bites,TRUE,FALSE,FALSE,283846,1,283846,303,36213.67552,Closed,0 Old-school,0.9994,0.9994,0.0006,Closed
65aa05f9bf450b0001bc2c97,Occupied,Permanently Closed,105 Atm Cash Corporation,Groceries & Convenience,865 Hancock st,11233,2024-01-19T05:17:45Z,2024-01-19T05:17:45Z,2024-01-15T16:07:33Z,6517a2feaf54d00001f06511,2023-09-30T04:24:30Z,9/30/2023,59c111247b2a3677ef5d9d29,2016-03-17T16:41:53Z,3/17/2016,-2753,40.68599185,-73.92077694,1,fixed,,,,,,,,,https://share.livexyz.com/venue/6517a2feaf54d00001f06511,https://calendre.imgix.net/22554b3e-f2ad-4df8-910f-bd7f1fddb6ac_image.png,,,105 Atm Cash Corporation,,,,,,,,,,5511be3c37345d00030005c9,Convenience Store,58193a7c1c464c000357b1c8,59ea28b3f86351000446c544,Essentials,"5511be3c37345d00030005c9,59c18724e41d550e7ccd7793","Convenience Store,Deli","58193a7c1c464c000357b1c8,5511be633d42bd000300064e","Groceries & Convenience,Restaurant","59ea28b3f86351000446c544,59ea276af86351000446c403","Essentials,Food",,,TRUE,FALSE,FALSE,333229,1,333229,303,36213.67552,Closed,1 New-school,0.9949,0.0051,0.9949,Closed
6685b0369eb20500017cf935,Occupied,Permanently Closed,107 Ralph Ave. Corp.,Groceries & Convenience,107 Ralph Avenue,11221,2024-07-03T20:10:30Z,2024-07-03T20:10:30Z,2024-01-11T16:29:00Z,56d4cae4933e0a00030027cb,2016-02-29T22:49:08Z,2/29/2016,59c110e67b2a3677ef5bf261,2016-02-29T22:49:08Z,2/29/2016,0,40.6864545,-73.9232927,1,fixed,,,,,,,,,https://share.livexyz.com/venue/56d4cae4933e0a00030027cb,https://calendre.imgix.net/H2E2_image_250d1cbe785fe7bf76a569c897a24fe87301372d.jpg,,,107 Ralph Ave. Corp.,,,,,,,,,,5511be3c37345d00030005c9,Convenience Store,58193a7c1c464c000357b1c8,59ea28b3f86351000446c544,Essentials,"5511be3c37345d00030005c9,59c18724e41d550e7ccd7793","Convenience Store,Deli","58193a7c1c464c000357b1c8,5511be633d42bd000300064e","Groceries & Convenience,Restaurant","59ea28b3f86351000446c544,59ea276af86351000446c403","Essentials,Food",563260851f8c100003002b9a,Quick Bites,TRUE,FALSE,FALSE,346856,1,346856,303,36213.67552,Closed,0 Old-school,0.9982,0.9982,0.0018,Closed
59c10ae47b2a366c731d4489,Occupied,Operating,1174 Fulton Cuisine,Restaurant,1174 Fulton St,11216,2015-07-06T20:07:09Z,,2025-07-24T17:01:50Z,559adfed15f917000300043f,2015-07-06T20:07:09Z,7/6/2015,59c10fac7b2a3677ef558a1a,2015-07-06T20:07:09Z,7/6/2015,0,40.68068303,-73.95408801,1,fixed,"Sunday 12:00am-5:00am, 8:00am-11:59pm;Monday 12:00am-5:00am, 8:00am-11:59pm;Tuesday 12:00am-5:00am, 8:00am-11:59pm;Wednesday 12:00am-5:00am, 8:00am-11:59pm;Thursday 12:00am-5:00am, 8:00am-11:59pm;Friday 12:00am-5:00am, 8:00am-11:59pm;Saturday 12:00am-5:00am, 8:00am-11:59pm",(347) 405-7708,,,,,,,https://share.livexyz.com/venue/559adfed15f917000300043f,,,,1174 Fulton Cuisine,,,,,,,,,,59e641e973bfdb000457a948,Halal Restaurant,5511be633d42bd000300064e,59ea276af86351000446c403,Food,59e641e973bfdb000457a948,Halal Restaurant,5511be633d42bd000300064e,Restaurant,59ea276af86351000446c403,Food,56dc73c2c55a626ccde58419,Dine In,TRUE,FALSE,FALSE,13196,1,13196,303,36213.67552,Existing,,,,,
